genesis	1	1
exodus	1	2
leviticus	1	3
numbers	1	4
deuteronomy	1	5
joshua	1	6
judges	1	7
ruth	1	8
i_samuel	1	9
ii_samuel	1	10
i_kings	1	11
ii_kings	1	12
i_chronicles	1	13
ii_chronicles	1	14
ezra	1	15
nehemiah	1	16
esther	1	17
job	1	18
psalm	1	19
proverbs	1	20
ecclesiastes	1	21
song_of_solomon	1	22
isaiah	1	23
jeremiah	1	24
lamentations	1	25
ezekiel	1	26
daniel	1	27
hosea	1	28
joel	1	29
amos	1	30
obadiah	1	31
jonah	1	32
micah	1	33
nahum	1	34
habakkuk	1	35
zephaniah	1	36
haggai	1	37
zechariah	1	38
malachi	1	39
matthew	1	40
mark	1	41
luke	1	42
john	1	43
acts	1	44
romans	1	45
i_corinthians	1	46
ii_corinthians	1	47
galatians	1	48
ephesians	1	49
philippians	1	50
colossians	1	51
i_thessalonians	1	52
ii_thessalonians	1	53
i_timothy	1	54
ii_timothy	1	55
titus	1	56
philemon	1	57
hebrews	1	58
james	1	59
i_peter	1	60
ii_peter	1	61
i_john	1	62
ii_john	1	63
iii_john	1	64
jude	1	65
revelation	1	66

